Date,Close,Open,High,Low,Change
October 2004,1.2785,1.2436,1.2846,1.2229,2.84
November 2004,1.3293,1.2803,1.3335,1.2656,3.97
December 2004,1.3558,1.3283,1.3668,1.3137,1.99
January 2005,1.3034,1.3547,1.3582,1.2921,-3.86
February 2005,1.3237,1.3036,1.3281,1.2732,1.56
March 2005,1.2963,1.3226,1.3483,1.2854,-2.07
April 2005,1.2873,1.2961,1.3126,1.2768,-0.69
May 2005,1.231,1.2861,1.2991,1.2295,-4.37
June 2005,1.2102,1.2306,1.2357,1.1984,-1.69
July 2005,1.213,1.2098,1.2256,1.1867,0.23
August 2005,1.2344,1.2123,1.2487,1.2117,1.76
September 2005,1.203,1.2339,1.259,1.1977,-2.54
October 2005,1.1988,1.2022,1.2207,1.1874,-0.35
November 2005,1.1789,1.1995,1.2087,1.1641,-1.66
December 2005,1.1843,1.179,1.2064,1.1662,0.46
January 2006,1.2155,1.1845,1.2325,1.1799,2.63
February 2006,1.1921,1.2155,1.2167,1.1825,-1.93
March 2006,1.2119,1.1921,1.2208,1.186,1.66
April 2006,1.2637,1.2122,1.2642,1.2032,4.27
May 2006,1.2812,1.2627,1.2973,1.2555,1.38
June 2006,1.2789,1.2815,1.2982,1.2479,-0.18
July 2006,1.2763,1.2788,1.2862,1.2458,-0.20
August 2006,1.2807,1.2761,1.294,1.2694,0.34
September 2006,1.2672,1.2804,1.2875,1.2629,-1.05
October 2006,1.2763,1.2683,1.2785,1.2483,0.72
November 2006,1.3241,1.2762,1.3275,1.2681,3.75
December 2006,1.3199,1.3244,1.337,1.3054,-0.32
January 2007,1.3034,1.3198,1.3299,1.2866,-1.25
February 2007,1.3235,1.3032,1.3261,1.2912,1.54
March 2007,1.3358,1.3232,1.3414,1.3072,0.93
April 2007,1.3647,1.3375,1.3683,1.3319,2.16
May 2007,1.3453,1.3641,1.3674,1.3407,-1.42
June 2007,1.3542,1.3453,1.3554,1.3262,0.66
July 2007,1.3673,1.3542,1.3853,1.3528,0.97
August 2007,1.363,1.3677,1.3841,1.336,-0.31
September 2007,1.4272,1.3628,1.4279,1.3551,4.71
October 2007,1.4481,1.4277,1.4505,1.4014,1.46
November 2007,1.4632,1.448,1.4968,1.4404,1.04
December 2007,1.459,1.4638,1.4771,1.431,-0.29
January 2008,1.4866,1.4586,1.4923,1.4365,1.89
February 2008,1.5181,1.486,1.524,1.444,2.12
March 2008,1.5774,1.5196,1.5905,1.5147,3.91
April 2008,1.5617,1.5764,1.6019,1.551,-1.00
May 2008,1.5554,1.5615,1.582,1.5286,-0.40
June 2008,1.5756,1.5559,1.5846,1.5302,1.30
July 2008,1.5601,1.5755,1.6039,1.5519,-0.98
August 2008,1.4674,1.5598,1.5633,1.4569,-5.94
September 2008,1.4104,1.4702,1.4867,1.3881,-3.88
October 2008,1.2733,1.4125,1.4177,1.2331,-9.72
November 2008,1.2698,1.275,1.3119,1.2389,-0.27
December 2008,1.398,1.2711,1.4721,1.255,10.10
January 2009,1.2782,1.3967,1.4057,1.2765,-8.57
February 2009,1.2669,1.2768,1.3094,1.2512,-0.88
March 2009,1.3251,1.2626,1.3738,1.2456,4.59
April 2009,1.3226,1.3247,1.3582,1.2883,-0.19
May 2009,1.4154,1.3228,1.4171,1.3212,7.02
June 2009,1.4036,1.4124,1.4339,1.375,-0.83
July 2009,1.425,1.4035,1.4306,1.3833,1.52
August 2009,1.4331,1.4268,1.4447,1.4045,0.57
September 2009,1.4636,1.4331,1.4844,1.4177,2.13
October 2009,1.4718,1.4638,1.5064,1.4482,0.56
November 2009,1.5009,1.4714,1.5146,1.4625,1.98
December 2009,1.4318,1.5007,1.5143,1.4218,-4.60
January 2010,1.3863,1.4326,1.4584,1.3861,-3.18
February 2010,1.3626,1.3863,1.4027,1.3443,-1.71
March 2010,1.3512,1.3625,1.3819,1.3267,-0.84
April 2010,1.3298,1.3512,1.3694,1.3115,-1.58
May 2010,1.2306,1.334,1.334,1.2143,-7.46
June 2010,1.2236,1.2305,1.2469,1.1877,-0.57
July 2010,1.3048,1.2236,1.3109,1.2195,6.64
August 2010,1.2687,1.3061,1.3335,1.2586,-2.77
September 2010,1.3633,1.2688,1.3686,1.2645,7.46
October 2010,1.395,1.3632,1.416,1.362,2.33
November 2010,1.298,1.3964,1.4284,1.2967,-6.95
December 2010,1.3379,1.2987,1.35,1.2972,3.07
January 2011,1.3686,1.3346,1.376,1.2872,2.29
February 2011,1.3802,1.3685,1.3862,1.3427,0.85
March 2011,1.4166,1.3803,1.425,1.3742,2.64
April 2011,1.4802,1.4174,1.4884,1.4062,4.49
May 2011,1.4396,1.4825,1.4941,1.3969,-2.74
June 2011,1.4506,1.4393,1.4699,1.4074,0.76
July 2011,1.4396,1.4498,1.4578,1.3836,-0.76
August 2011,1.4379,1.4359,1.4549,1.4056,-0.12
September 2011,1.3386,1.4377,1.4383,1.3363,-6.91
October 2011,1.3858,1.3337,1.4248,1.3146,3.53
November 2011,1.3443,1.3858,1.3874,1.3213,-2.99
December 2011,1.2948,1.3438,1.3551,1.2858,-3.68
January 2012,1.3078,1.2937,1.3231,1.2624,1.00
February 2012,1.3326,1.3083,1.3488,1.2975,1.90
March 2012,1.3344,1.3326,1.3386,1.3003,0.14
April 2012,1.324,1.3358,1.338,1.2994,-0.78
May 2012,1.2358,1.3242,1.3285,1.2337,-6.66
June 2012,1.266,1.2361,1.2749,1.2288,2.44
July 2012,1.2304,1.2671,1.2672,1.2041,-2.81
August 2012,1.2577,1.2305,1.2638,1.2134,2.22
September 2012,1.2858,1.2567,1.317,1.2501,2.23
October 2012,1.296,1.286,1.3141,1.2804,0.79
November 2012,1.2986,1.296,1.3029,1.2662,0.20
December 2012,1.3196,1.2986,1.3311,1.288,1.62
January 2013,1.3579,1.3195,1.3594,1.2998,2.90
February 2013,1.3056,1.3577,1.3712,1.3017,-3.85
March 2013,1.282,1.3056,1.3136,1.2752,-1.81
April 2013,1.3167,1.2814,1.3202,1.2746,2.71
May 2013,1.2999,1.317,1.3246,1.2799,-1.28
June 2013,1.301,1.2984,1.3417,1.2956,0.08
July 2013,1.3302,1.3008,1.3346,1.2756,2.24
August 2013,1.3222,1.3302,1.3455,1.3175,-0.60
September 2013,1.3526,1.3234,1.357,1.3105,2.30
October 2013,1.3584,1.3529,1.3835,1.3475,0.43
November 2013,1.3591,1.3583,1.3622,1.3296,0.05
December 2013,1.3746,1.3589,1.3893,1.3523,1.14
January 2014,1.3487,1.3742,1.3777,1.348,-1.88
February 2014,1.3802,1.3493,1.3824,1.3476,2.34
March 2014,1.3771,1.3786,1.3968,1.3705,-0.22
April 2014,1.3867,1.3768,1.3906,1.3673,0.70
May 2014,1.3631,1.3866,1.3993,1.3585,-1.70
June 2014,1.3692,1.3634,1.3698,1.3503,0.45
July 2014,1.3389,1.3692,1.3701,1.3366,-2.21
August 2014,1.3133,1.3391,1.3444,1.3131,-1.91
September 2014,1.2632,1.3138,1.3161,1.2571,-3.81
October 2014,1.2525,1.2631,1.2886,1.2485,-0.85
November 2014,1.2452,1.2517,1.2601,1.2359,-0.58
December 2014,1.2099,1.2456,1.2571,1.2096,-2.83
January 2015,1.1288,1.2101,1.211,1.11,-6.70
February 2015,1.1196,1.1284,1.1535,1.1178,-0.82
March 2015,1.0731,1.1187,1.1241,1.0457,-4.15
April 2015,1.1224,1.0736,1.1268,1.0521,4.59
May 2015,1.0988,1.1222,1.1467,1.0819,-2.10
June 2015,1.1138,1.0989,1.1439,1.0889,1.37
July 2015,1.0988,1.1139,1.1216,1.0809,-1.35
August 2015,1.1215,1.0972,1.1715,1.0851,2.07
September 2015,1.1177,1.121,1.146,1.1087,-0.34
October 2015,1.1005,1.1176,1.1496,1.0895,-1.54
November 2015,1.0564,1.1015,1.1053,1.0557,-4.01
December 2015,1.086,1.0567,1.1059,1.0538,2.80
January 2016,1.0837,1.0862,1.0986,1.0712,-0.21
February 2016,1.0873,1.0833,1.1377,1.0814,0.33
March 2016,1.138,1.0872,1.1413,1.0822,4.66
April 2016,1.1456,1.138,1.1466,1.1215,0.67
May 2016,1.1132,1.1447,1.1617,1.1099,-2.83
June 2016,1.1105,1.1132,1.1434,1.0911,-0.24
July 2016,1.1174,1.1106,1.12,1.0954,0.62
August 2016,1.1158,1.1175,1.1367,1.1045,-0.14
September 2016,1.1241,1.1158,1.1329,1.1122,0.74
October 2016,1.0981,1.1235,1.1245,1.085,-2.31
November 2016,1.0588,1.0982,1.1302,1.0518,-3.58
December 2016,1.0516,1.0591,1.0875,1.0353,-0.68
January 2017,1.0798,1.0532,1.0814,1.0342,2.68
February 2017,1.0577,1.0798,1.083,1.0494,-2.05
March 2017,1.0652,1.0576,1.0907,1.0495,0.71
April 2017,1.0897,1.066,1.0952,1.057,2.30
May 2017,1.1243,1.0908,1.1269,1.084,3.18
