Date,Close,Open,High,Low,Change
"October 30, 2005",1.1822,1.2058,1.2092,1.1801,-1.99
"November 06, 2005",1.1724,1.1816,1.1838,1.1671,-0.83
"November 13, 2005",1.1768,1.1723,1.1795,1.1639,0.38
"November 20, 2005",1.1724,1.1775,1.1865,1.1683,-0.37
"November 27, 2005",1.1717,1.1715,1.1904,1.1662,-0.06
"December 04, 2005",1.1812,1.1704,1.185,1.1688,0.81
"December 11, 2005",1.2013,1.1781,1.2062,1.1777,1.7
"December 18, 2005",1.1875,1.2027,1.2041,1.1799,-1.15
"December 25, 2005",1.1843,1.1862,1.1935,1.1778,-0.27
"January 01, 2006",1.2149,1.1845,1.2182,1.1799,2.58
"January 08, 2006",1.2138,1.2148,1.2165,1.2006,-0.09
"January 15, 2006",1.2138,1.2149,1.2176,1.2041,0
"January 22, 2006",1.21,1.214,1.2325,1.2085,-0.31
"January 29, 2006",1.2024,1.2106,1.2191,1.1968,-0.63
"February 05, 2006",1.19,1.2037,1.2048,1.1892,-1.03
"February 12, 2006",1.1934,1.1902,1.1955,1.1846,0.29
"February 19, 2006",1.1873,1.1932,1.1976,1.186,-0.51
"February 26, 2006",1.2039,1.1873,1.2054,1.1824,1.4
"March 05, 2006",1.1915,1.2049,1.2094,1.1859,-1.03
"March 12, 2006",1.219,1.1915,1.2208,1.1909,2.31
"March 19, 2006",1.2036,1.2185,1.2199,1.195,-1.26
"March 26, 2006",1.2119,1.2039,1.2176,1.1976,0.69
"April 02, 2006",1.209,1.2122,1.2336,1.2032,-0.24
"April 09, 2006",1.211,1.211,1.217,1.2065,0.17
"April 16, 2006",1.2341,1.2125,1.2397,1.2123,1.91
"April 23, 2006",1.2637,1.2374,1.2642,1.2333,2.4
"April 30, 2006",1.2725,1.2628,1.2768,1.2556,0.7
"May 07, 2006",1.2932,1.2743,1.2959,1.2662,1.63
"May 14, 2006",1.2774,1.2951,1.2974,1.2695,-1.22
"May 21, 2006",1.2735,1.2761,1.2896,1.2695,-0.31
"May 28, 2006",1.2918,1.2732,1.2942,1.272,1.44
"June 04, 2006",1.2644,1.2931,1.2982,1.2596,-2.12
"June 11, 2006",1.2645,1.2619,1.2678,1.2531,0.01
"June 18, 2006",1.2512,1.265,1.2683,1.2479,-1.05
"June 25, 2006",1.2789,1.2505,1.2797,1.2502,2.21
"July 02, 2006",1.281,1.279,1.2864,1.2705,0.16
"July 09, 2006",1.2651,1.2811,1.2817,1.2625,-1.24
"July 16, 2006",1.2697,1.2634,1.2699,1.2459,0.36
"July 23, 2006",1.2764,1.2703,1.2775,1.2561,0.53
"July 30, 2006",1.2874,1.2768,1.2912,1.2721,0.86
"August 06, 2006",1.2722,1.2884,1.2915,1.2716,-1.18
